"ENTREZID","SYMBOL","TXNAME","TXID","TXCHROM","TXSTART","TXEND"
"183","AGT",7783,"uc001hty.4","chr1",230838272,230850336
"8416","ANXA9",2395,"uc001ewa.2","chr1",150954499,150968114
"9447","AIM2",6827,"uc001ftj.1","chr1",159032275,159046647
"1244","ABCC2",38777,"uc001kqf.2","chr10",101542463,101611662
"51703","ACSL5",38940,"uc001kzs.3","chr10",114133916,114188138
"116519","APOA5",45138,"uc001ppr.3","chr11",116660086,116663136
"221120","ALKBH3",41536,"uc001mxs.2","chr11",43902357,43941825
"144453","BEST3",48601,"uc001svd.2","chr12",70037334,70093196
"347902","AMIGO2",48046,"uc001rpk.3","chr12",47469490,47473734
"64333","ARHGAP9",48490,"uc001sny.3","chr12",57866038,57868756
"10538","BATF",51710,"uc001xrr.3","chr14",75988784,76013334
"57538","ALPK3",54897,"uc002ble.3","chr15",85359911,85416713
"8120","AP3B2",56529,"uc010bmp.3","chr15",83328033,83331427
"113","ADCY7",57908,"uc002egb.1","chr16",50300462,50338870
"344","APOC2",67287,"uc021uvn.1","chr19",45451542,45452652
"84658","ADGRE3",68774,"uc002mzi.4","chr19",14730051,14785730
"251","ALPPL2",10386,"uc002vss.4","chr2",233271552,233275424
"9938","ARHGAP25",8577,"uc010yqk.2","chr2",68906746,69043443
"25825","BACE2",72788,"uc002yyw.3","chr21",42539728,42648524
"57168","ASPHD2",73810,"uc003acg.2","chr22",26825280,26840978
"275","AMT",15879,"uc011bcn.2","chr3",49454211,49459884
"347","APOD",17281,"uc003fur.2","chr3",195295573,195311076
"8309","ACOX2",16133,"uc003dkl.3","chr3",58490863,58522929
"8706","B3GALNT1",16972,"uc003fdv.3","chr3",160801671,160822683
"130","ADH6",19661,"uc003huo.2","chr4",100123795,100140403
"231","AKR1B1",31418,"uc003vrp.1","chr7",134127107,134143888
"23452","ANGPTL2",37152,"uc004bqr.1","chr9",129849628,129885044
